created_at,entities_cashtags,entities_hashtags,entities_urls,public_metrics_like_count,public_metrics_quote_count,public_metrics_reply_count,public_metrics_retweet_count,entities_mentions,created_at_user,public_metrics_followers_count,public_metrics_following_count,public_metrics_listed_count,public_metrics_tweet_count,media_type,Word_count_Henry08_pos,Word_count_Henry08_neg,Word_count_LM11_pos,Word_count_LM11_neg,Word_count_Hagenau13_pos,Word_count_Hagenau13_neg,News_agencies_names_count,Compound_vader,Positive_vader,Negative_vader,Neutral_vader
2021-09-29 07:34:18,0,4,1,0,0,0,0,0,2017-01-31 23:58:07,293,92,0,2934,0,0.004098360655737705,0.0,0.0,0.0,0.004098360655737705,0.0,0.0,0.2263,0.058,0.0,0.942
2021-09-27 20:08:07,1,0,2,0,0,0,0,0,2021-05-30 16:42:36,659,0,13,51308,1,0.005747126436781609,0.0,0.0,0.0,0.011494252873563218,0.005747126436781609,0.0,0.3818,0.082,0.0,0.918
2021-09-27 16:38:15,1,0,1,0,0,0,0,0,2018-12-03 15:43:42,3157,0,95,841956,0,0.0,0.0,0.0,0.005208333333333333,0.005208333333333333,0.0,0.0,-0.2263,0.0,0.073,0.927
2021-09-27 16:30:35,1,0,1,0,0,0,0,0,2020-11-07 11:37:37,399,16,29,266556,0,0.0,0.0,0.0,0.006578947368421052,0.0,0.0,0.0,-0.2263,0.0,0.091,0.909
2021-09-26 23:17:04,1,0,2,0,0,0,0,0,2020-10-11 19:29:43,2898,55,59,110072,1,0.005747126436781609,0.0,0.0,0.0,0.011494252873563218,0.005747126436781609,0.0,0.3818,0.082,0.0,0.918
2021-09-24 10:58:50,0,4,1,0,0,0,0,0,2017-02-16 02:32:35,1228,1822,4,732,0,0.004098360655737705,0.0,0.0,0.0,0.004098360655737705,0.0,0.0,0.2263,0.058,0.0,0.942
2021-09-24 07:14:40,0,0,1,0,0,0,0,0,2018-08-03 17:12:44,42,31,0,26942,0,0.004201680672268907,0.0,0.0,0.0,0.0,0.004201680672268907,0.0,0.3818,0.073,0.0,0.927
2021-09-23 10:43:24,0,4,1,0,0,0,0,0,2017-01-31 23:58:07,293,92,0,2934,0,0.004098360655737705,0.0,0.0,0.0,0.004098360655737705,0.0,0.0,0.2263,0.058,0.0,0.942
2021-09-23 03:53:09,0,0,1,0,0,0,0,0,2016-05-22 14:54:08,360,271,6,96360,0,0.00625,0.0,0.0,0.0,0.0,0.0,0.0,0.6486,0.249,0.0,0.751
2021-09-23 02:55:42,0,0,1,0,0,0,0,0,2016-05-22 14:54:08,360,271,6,96360,0,0.005291005291005291,0.0,0.0,0.0,0.0,0.0,0.0,0.6486,0.218,0.0,0.782
2021-09-22 06:23:15,0,0,2,0,0,0,0,0,2016-02-09 19:06:07,2462,4823,43,59125,1,0.017316017316017316,0.0,0.004329004329004329,0.0,0.008658008658008658,0.0,0.0,0.3818,0.077,0.0,0.923
2021-09-21 18:20:24,0,0,1,0,0,0,0,0,2018-02-05 01:42:07,1081,1362,10,255816,0,0.0,0.0,0.0,0.0,0.0048543689320388345,0.0,0.0,0.2263,0.068,0.0,0.932
2021-09-21 17:31:18,0,5,2,0,0,0,0,0,2012-10-31 03:27:23,1052,132,139,368898,1,0.0,0.0,0.0,0.0,0.0035460992907801418,0.0,0.0,0.2263,0.056,0.0,0.944
2021-09-21 08:17:00,0,0,1,0,0,0,0,0,2016-05-01 09:52:28,24,103,3,213,0,0.010309278350515464,0.0,0.010309278350515464,0.0,0.0,0.0,0.0,-0.0516,0.189,0.203,0.608
2021-09-21 05:16:03,2,0,2,0,0,0,0,0,2018-02-13 14:30:33,3892,2,66,404813,0,0.005434782608695652,0.0,0.005434782608695652,0.0,0.0,0.0,0.0,-0.0516,0.097,0.104,0.799
2021-09-21 05:13:54,1,3,1,1,0,0,0,0,2009-03-06 07:52:56,187390,75,4791,839079,0,0.007352941176470588,0.0,0.007352941176470588,0.0,0.0,0.0,0.0,-0.0516,0.141,0.152,0.707
2021-09-20 07:36:21,0,4,1,1,0,0,0,0,2017-01-31 23:58:07,293,92,0,2934,0,0.004098360655737705,0.0,0.0,0.0,0.004098360655737705,0.0,0.0,0.2263,0.058,0.0,0.942
2021-09-20 03:55:10,0,0,1,0,0,0,0,1,2010-06-11 06:23:02,7907,6114,85,38732,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.296,0.0,0.121,0.879
2021-09-19 02:38:14,1,0,2,0,0,0,0,0,2020-10-11 19:29:43,2898,55,59,110072,1,0.005747126436781609,0.0,0.0,0.0,0.011494252873563218,0.005747126436781609,0.0,0.3818,0.082,0.0,0.918
2021-09-18 17:33:05,1,0,2,0,0,0,0,0,2020-10-11 19:29:43,2898,55,59,110072,1,0.005747126436781609,0.0,0.0,0.0,0.011494252873563218,0.005747126436781609,0.0,0.3818,0.082,0.0,0.918
2021-09-17 09:22:06,1,0,2,0,0,0,0,0,2021-05-30 16:42:36,659,0,13,51308,1,0.005747126436781609,0.0,0.0,0.0,0.011494252873563218,0.005747126436781609,0.0,0.3818,0.082,0.0,0.918
2021-09-17 07:22:04,1,0,2,0,0,0,0,0,2021-05-30 16:42:36,659,0,13,51308,1,0.005747126436781609,0.0,0.0,0.0,0.011494252873563218,0.005747126436781609,0.0,0.3818,0.082,0.0,0.918
2021-09-16 00:04:06,1,0,2,0,0,0,0,0,2021-05-30 16:42:36,659,0,13,51308,1,0.005747126436781609,0.0,0.0,0.0,0.011494252873563218,0.005747126436781609,0.0,0.3818,0.082,0.0,0.918
2021-09-15 10:14:38,0,0,1,0,0,0,0,0,2018-08-03 17:12:44,42,31,0,26942,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2023,0.05,0.0,0.95
2021-09-15 09:19:48,0,0,1,0,0,0,1,1,2010-06-11 06:23:02,7907,6114,85,38732,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.296,0.0,0.121,0.879
2021-09-15 05:45:46,0,6,2,1,0,0,1,0,2013-11-04 03:47:22,135,169,2,655,1,0.0,0.0,0.0,0.0091324200913242,0.0,0.0,0.0,-0.1027,0.094,0.108,0.799
2021-09-14 14:36:32,0,0,1,0,0,0,0,0,2018-08-13 16:37:53,4,0,0,3298,0,0.007168458781362007,0.0,0.0035842293906810036,0.0,0.0035842293906810036,0.0035842293906810036,0.0,0.5994,0.134,0.031,0.835
2021-09-14 00:05:47,0,0,1,0,0,0,0,0,2018-08-03 17:12:44,42,31,0,26942,0,0.0,0.0,0.0,0.0,0.006134969325153374,0.006134969325153374,0.0,0.0258,0.046,0.0,0.954
2021-09-13 22:57:50,0,0,1,0,0,0,0,0,2018-02-05 01:42:07,1081,1362,10,255816,0,0.0,0.0,0.0,0.0,0.006896551724137931,0.006896551724137931,0.0,0.0258,0.052,0.0,0.948
2021-09-13 22:56:22,0,0,1,0,0,0,0,0,2018-02-05 01:42:07,1081,1362,10,255816,0,0.0,0.0,0.0,0.0,0.006896551724137931,0.006896551724137931,0.0,0.0258,0.052,0.0,0.948
2021-09-13 22:32:38,0,5,2,0,0,0,0,0,2012-10-31 03:27:23,1052,132,139,368898,1,0.0,0.0,0.0,0.0,0.004405286343612335,0.004405286343612335,0.0,0.0258,0.041,0.0,0.959
2021-09-13 21:18:19,0,0,1,0,0,0,0,0,2016-02-03 04:04:34,92,21,1,78529,0,0.0,0.0,0.0,0.014285714285714285,0.0,0.0,0.0,-0.1027,0.124,0.142,0.734
2021-09-13 18:50:17,0,0,1,0,0,0,0,0,2011-06-28 07:43:54,780,570,26,20956,0,0.0,0.0,0.0,0.014184397163120567,0.0,0.0,0.0,-0.1027,0.124,0.142,0.734
2021-09-13 18:08:06,0,0,1,0,0,0,0,0,2010-03-04 22:15:07,1549,4,146,374669,0,0.0,0.0,0.0,0.009174311926605505,0.0,0.0,0.0,-0.1027,0.085,0.097,0.818
2021-09-13 18:08:03,0,0,1,0,0,0,0,0,2010-03-04 22:15:07,1549,4,146,374669,0,0.0,0.0,0.0,0.01282051282051282,0.0,0.0,0.0,-0.1027,0.109,0.125,0.766
2021-09-13 17:55:02,0,0,1,0,0,0,0,0,2010-03-04 22:15:07,1549,4,146,374669,0,0.0,0.0,0.0,0.012987012987012988,0.0,0.0,0.0,-0.1027,0.113,0.13,0.756
2021-09-13 17:44:03,0,0,1,0,0,0,0,0,2010-03-04 22:15:07,1549,4,146,374669,0,0.0,0.0,0.0,0.012658227848101266,0.0,0.0,0.0,-0.1027,0.109,0.125,0.766
2021-09-13 17:37:02,0,0,1,0,0,0,0,0,2010-03-04 22:15:07,1549,4,146,374669,0,0.0,0.0,0.0,0.012738853503184714,0.0,0.0,0.0,-0.1027,0.109,0.125,0.766
2021-09-13 17:31:10,0,0,1,0,0,0,0,0,2011-04-18 10:50:46,79,1,1,193256,0,0.0,0.0,0.0,0.014184397163120567,0.0,0.0,0.0,-0.1027,0.124,0.142,0.734
2021-09-13 17:30:58,1,0,1,0,0,0,0,0,2012-01-24 00:00:23,7019,11,187,400111,0,0.0,0.0,0.0,0.0136986301369863,0.0,0.0,0.0,-0.1027,0.118,0.136,0.746
2021-09-13 17:29:45,1,0,1,0,0,0,0,0,2010-03-12 13:41:58,50988,353,191,89319,0,0.0,0.0,0.0,0.0136986301369863,0.0,0.0,0.0,-0.1027,0.118,0.136,0.746
2021-09-13 17:29:10,0,0,1,0,0,0,0,0,2015-08-18 06:21:05,933,2063,38,1221663,0,0.0,0.0,0.0,0.014285714285714285,0.0,0.0,0.0,-0.1027,0.124,0.142,0.734
2021-09-13 17:25:37,1,1,1,0,0,0,0,0,2020-04-25 09:11:29,5654,0,156,177909,0,0.0,0.0,0.0,0.012903225806451613,0.0,0.0,0.0,-0.1027,0.113,0.13,0.756
2021-09-13 17:25:07,1,0,1,0,0,0,0,0,2021-05-14 16:34:04,33,0,0,20819,0,0.0,0.0,0.0,0.013513513513513514,0.0,0.0,0.0,-0.1027,0.118,0.136,0.746
2021-09-10 15:18:41,0,0,1,1,0,0,0,0,2009-08-14 07:43:12,4532,52,69,7533,0,0.0,0.0,0.0,0.0035842293906810036,0.0,0.0,0.0,0.1027,0.065,0.056,0.88
2021-09-09 05:49:59,0,4,1,0,0,0,0,0,2017-01-31 23:58:07,293,92,0,2934,0,0.004098360655737705,0.0,0.0,0.0,0.004098360655737705,0.0,0.0,0.2263,0.058,0.0,0.942
2021-09-07 14:55:26,0,3,2,0,0,0,0,0,2020-10-03 03:36:46,3,2,0,662,1,0.008658008658008658,0.0,0.0,0.0,0.0,0.0,0.0,0.3818,0.091,0.0,0.909
2021-09-06 04:00:18,0,4,1,0,0,0,0,0,2017-01-31 23:58:07,293,92,0,2934,0,0.004098360655737705,0.0,0.0,0.0,0.004098360655737705,0.0,0.0,0.2263,0.058,0.0,0.942
2021-09-03 02:00:23,0,0,1,0,0,0,0,0,2011-06-28 07:19:14,1455,908,40,36297,0,0.005917159763313609,0.0,0.0,0.0,0.0,0.0,0.0,0.3818,0.106,0.0,0.894
2021-09-03 02:00:19,0,0,1,0,0,0,0,0,2010-07-14 09:06:24,5572,1811,194,48960,0,0.005917159763313609,0.0,0.0,0.0,0.0,0.0,0.0,0.3818,0.106,0.0,0.894
2021-08-31 12:02:04,1,0,2,0,0,0,0,0,2021-05-30 16:42:36,659,0,13,51308,1,0.005747126436781609,0.0,0.0,0.0,0.011494252873563218,0.005747126436781609,0.0,0.3818,0.082,0.0,0.918
2021-08-30 06:06:59,0,0,1,0,0,0,0,0,2021-08-25 06:10:22,0,0,0,43,0,0.0,0.0,0.0,0.0,0.00425531914893617,0.0,0.0,-0.0258,0.053,0.056,0.89
2021-08-28 14:55:09,1,0,2,0,0,0,0,0,2020-10-11 19:29:43,2898,55,59,110072,1,0.005747126436781609,0.0,0.0,0.0,0.011494252873563218,0.005747126436781609,0.0,0.3818,0.082,0.0,0.918
2021-08-28 10:41:03,1,0,2,0,0,0,0,0,2020-10-11 19:29:43,2898,55,59,110072,1,0.005747126436781609,0.0,0.0,0.0,0.011494252873563218,0.005747126436781609,0.0,0.3818,0.082,0.0,0.918
2021-08-27 21:48:10,0,1,1,0,0,0,0,0,2010-08-11 17:40:45,7181,161,18,31122,0,0.0,0.0,0.0,0.0,0.0,0.007042253521126761,0.0,0.0,0.0,0.0,1.0
2021-08-25 06:48:49,0,12,1,0,0,0,1,1,2020-05-29 15:42:00,150,30,2,1949,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.296,0.078,0.0,0.922
2021-08-24 18:49:03,1,0,1,0,0,0,0,0,2021-06-25 17:04:33,45,0,0,11222,0,0.0,0.0,0.0,0.0,0.0,0.011363636363636364,0.0,0.0,0.0,0.0,1.0
2021-08-24 17:02:27,0,1,0,0,0,0,0,0,2018-01-07 09:23:37,28,12,1,9018,0,0.0,0.0,0.0,0.014925373134328358,0.0,0.0,0.0,0.3818,0.206,0.0,0.794
2021-08-23 07:45:38,0,4,1,0,0,0,0,0,2017-01-31 23:58:07,293,92,0,2934,0,0.004098360655737705,0.0,0.0,0.0,0.004098360655737705,0.0,0.0,0.2263,0.058,0.0,0.942
2021-08-21 14:09:39,1,0,1,0,0,0,0,0,2021-06-25 17:04:33,45,0,0,11222,0,0.0,0.0,0.0,0.0,0.0,0.011235955056179775,0.0,0.0,0.0,0.0,1.0
2021-08-21 12:20:08,1,0,2,0,0,0,0,0,2021-05-30 16:42:36,659,0,13,51308,1,0.005747126436781609,0.0,0.0,0.0,0.011494252873563218,0.005747126436781609,0.0,0.3818,0.082,0.0,0.918
2021-08-20 16:55:15,1,0,2,1,0,0,0,0,2020-10-11 19:29:43,2898,55,59,110072,1,0.005747126436781609,0.0,0.0,0.0,0.011494252873563218,0.005747126436781609,0.0,0.3818,0.082,0.0,0.918
2021-08-20 03:40:44,0,0,2,1,0,0,0,0,2020-02-14 02:44:28,2156,914,21,4901,1,0.006578947368421052,0.0,0.003289473684210526,0.0,0.0,0.0,0.0,0.8176,0.183,0.0,0.817
2021-08-19 05:24:05,1,0,2,0,0,0,0,0,2021-05-30 16:42:36,659,0,13,51308,1,0.005747126436781609,0.0,0.0,0.0,0.011494252873563218,0.005747126436781609,0.0,0.3818,0.082,0.0,0.918
2021-08-17 19:55:09,1,3,3,1,0,0,0,0,2015-03-25 07:15:18,605,776,12,70818,1,0.00392156862745098,0.0,0.00392156862745098,0.0,0.0,0.0,0.00392156862745098,0.6988,0.142,0.0,0.858
2021-08-17 19:07:44,1,0,1,0,0,0,0,0,2021-06-25 17:04:33,45,0,0,11222,0,0.0,0.0,0.0,0.0,0.0,0.011235955056179775,0.0,0.0,0.0,0.0,1.0
2021-08-12 16:18:51,1,0,1,0,0,0,0,0,2021-06-25 17:04:33,45,0,0,11222,0,0.0,0.0,0.0,0.0,0.0,0.011235955056179775,0.0,0.0,0.0,0.0,1.0
2021-08-12 15:01:06,1,0,2,0,0,0,0,0,2020-10-11 19:29:43,2898,55,59,110072,1,0.005747126436781609,0.0,0.0,0.0,0.011494252873563218,0.005747126436781609,0.0,0.3818,0.082,0.0,0.918
2021-08-12 12:26:04,1,0,2,0,0,0,0,0,2021-05-30 16:42:36,659,0,13,51308,1,0.005747126436781609,0.0,0.0,0.0,0.011494252873563218,0.005747126436781609,0.0,0.3818,0.082,0.0,0.918
2021-08-12 11:01:57,0,0,1,10,0,0,2,0,2012-08-02 16:08:12,3403,324,72,2595,0,0.0037593984962406013,0.0,0.0037593984962406013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2021-08-12 11:00:01,1,0,1,0,0,0,0,0,2020-08-26 03:03:39,58,36,0,2601,0,0.014388489208633094,0.007194244604316547,0.007194244604316547,0.0,0.0,0.007194244604316547,0.0,0.1779,0.122,0.092,0.786
2021-08-10 07:47:49,0,4,1,0,0,0,0,0,2017-01-31 23:58:07,293,92,0,2934,0,0.004098360655737705,0.0,0.0,0.0,0.004098360655737705,0.0,0.0,0.2263,0.058,0.0,0.942
2021-08-09 16:09:24,0,3,2,14,0,0,2,0,2019-02-25 12:16:36,37,170,0,574,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8126,0.193,0.0,0.807
2021-08-06 00:07:32,0,0,1,0,0,0,0,0,2018-08-13 16:37:53,4,0,0,3298,0,0.0,0.0,0.0,0.0,0.0,0.003787878787878788,0.0,0.25,0.048,0.0,0.952
2021-08-05 06:29:40,0,4,1,0,0,0,0,0,2017-01-31 23:58:07,293,92,0,2934,0,0.004098360655737705,0.0,0.0,0.0,0.004098360655737705,0.0,0.0,0.2263,0.058,0.0,0.942
2021-08-04 16:00:53,0,0,1,11,0,0,5,0,2012-08-02 16:08:12,3403,324,72,2595,0,0.007142857142857143,0.0,0.0035714285714285713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2021-08-04 13:55:03,1,0,1,0,0,0,0,0,2016-09-07 13:47:50,195,35,8,57439,0,0.0049261083743842365,0.0,0.0,0.0,0.0,0.0049261083743842365,0.0,0.4767,0.147,0.0,0.853
2021-08-04 07:33:15,1,0,1,0,0,0,0,0,2018-12-03 15:43:42,3157,0,95,841956,0,0.0,0.0,0.0,0.006369426751592357,0.006369426751592357,0.0,0.0,-0.2263,0.0,0.087,0.913
2021-08-04 07:30:43,1,0,1,0,0,0,0,0,2020-11-07 11:37:37,399,16,29,266556,0,0.0,0.0,0.0,0.008849557522123894,0.0,0.0,0.0,-0.2263,0.0,0.119,0.881
2021-08-04 05:28:39,0,0,1,3,0,0,0,1,2014-03-10 02:45:45,2289,1886,19,3498,0,0.00823045267489712,0.0,0.0,0.0,0.00411522633744856,0.00411522633744856,0.0,0.5267,0.128,0.0,0.872
2021-08-03 23:02:13,1,0,1,0,0,0,0,0,2019-05-30 06:49:04,19113,181,347,880495,0,0.0,0.0,0.0,0.0,0.0,0.03125,0.0,0.0,0.0,0.0,1.0
2021-08-03 16:36:18,1,0,1,0,0,0,0,0,2010-03-12 13:41:58,50988,353,191,89319,0,0.0,0.0,0.0,0.0,0.0,0.027777777777777776,0.0,0.0,0.0,0.0,1.0
2021-08-03 16:32:31,1,0,1,0,0,0,0,0,2021-01-29 11:43:57,291,0,9,110829,0,0.0,0.0,0.0,0.0,0.0,0.027777777777777776,0.0,0.0,0.0,0.0,1.0
2021-08-03 16:30:46,1,0,1,0,0,0,0,0,2020-04-25 09:11:29,5654,0,156,177909,0,0.0,0.0,0.0,0.0,0.0,0.027777777777777776,0.0,0.0,0.0,0.0,1.0
2021-08-03 16:30:39,1,0,1,0,0,0,0,0,2020-11-07 11:37:37,399,16,29,266556,0,0.0,0.0,0.0,0.008,0.0,0.024,0.0,-0.2263,0.0,0.112,0.888
2021-08-03 16:30:10,1,0,1,0,0,0,0,0,2021-05-14 16:34:04,33,0,0,20819,0,0.0,0.0,0.0,0.0,0.0,0.02727272727272727,0.0,0.0,0.0,0.0,1.0
2021-07-30 07:59:24,0,8,2,0,0,0,1,0,2020-07-01 07:22:41,14,49,1,2910,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0516,0.048,0.053,0.899
2021-07-28 12:30:08,1,0,2,0,0,0,0,0,2021-05-30 16:42:36,659,0,13,51308,1,0.005714285714285714,0.0,0.0,0.0,0.011428571428571429,0.005714285714285714,0.0,0.3818,0.082,0.0,0.918
2021-07-28 04:31:04,1,0,2,0,0,0,0,0,2020-10-11 19:29:43,2898,55,59,110072,1,0.005714285714285714,0.0,0.0,0.0,0.011428571428571429,0.005714285714285714,0.0,0.3818,0.082,0.0,0.918
2021-07-27 11:13:51,0,0,1,0,0,0,0,0,2009-07-06 14:24:37,6260,3079,225,147863,0,0.0,0.0,0.0,0.0,0.0,0.00510204081632653,0.0,0.2732,0.114,0.0,0.886
2021-07-27 07:22:10,0,9,1,0,0,0,0,0,2009-04-27 06:27:17,416,487,27,697,0,0.0,0.0,0.0036101083032490976,0.0036101083032490976,0.0,0.0,0.0,0.4939,0.127,0.0,0.873
2021-07-26 05:35:56,0,0,1,0,0,0,0,0,2009-07-06 14:24:37,6260,3079,225,147863,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5473,0.124,0.0,0.876
2021-07-24 08:24:05,0,0,2,1,0,0,0,0,2016-02-09 19:06:07,2462,4823,43,59125,1,0.00823045267489712,0.0,0.00411522633744856,0.0,0.0,0.0,0.0,0.5106,0.096,0.0,0.904
2021-07-23 11:02:50,3,5,1,2,0,0,2,0,2020-09-09 14:50:09,505,73,6,1252,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2023,0.067,0.0,0.933
2021-07-23 07:02:47,0,4,1,0,0,0,0,0,2017-01-31 23:58:07,293,92,0,2934,0,0.004098360655737705,0.0,0.0,0.0,0.004098360655737705,0.0,0.0,0.2263,0.058,0.0,0.942
2021-07-22 19:36:00,0,0,1,2,0,0,0,0,2019-06-20 12:04:54,361,329,2,446,0,0.0,0.0,0.0035842293906810036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2021-07-22 05:56:34,0,0,1,6,1,0,2,0,2020-06-16 00:56:03,649,180,0,1347,0,0.003787878787878788,0.0,0.003787878787878788,0.0,0.0,0.003787878787878788,0.0,0.8689,0.292,0.0,0.708
2021-07-21 01:09:04,1,0,2,0,0,0,0,0,2020-10-11 19:29:43,2898,55,59,110072,1,0.005714285714285714,0.0,0.0,0.0,0.011428571428571429,0.005714285714285714,0.0,0.3818,0.082,0.0,0.918
2021-07-20 17:16:18,0,1,0,0,0,0,0,0,2018-01-07 09:23:37,28,12,1,9018,0,0.0,0.0,0.0,0.014285714285714285,0.0,0.0,0.0,0.3818,0.206,0.0,0.794
2021-07-20 15:16:01,0,0,2,0,0,0,0,0,2020-10-28 03:06:57,1,7,0,471,1,0.0,0.0,0.0,0.0,0.0,0.003937007874015748,0.0,-0.128,0.0,0.045,0.955
2021-07-19 14:50:03,1,0,1,0,0,0,0,0,2020-08-26 03:03:39,58,36,0,2601,0,0.014285714285714285,0.007142857142857143,0.007142857142857143,0.0,0.0,0.007142857142857143,0.0,0.1779,0.122,0.092,0.786
2021-07-19 14:00:02,1,0,1,0,0,0,0,0,2020-08-26 03:03:39,58,36,0,2601,0,0.014285714285714285,0.007142857142857143,0.007142857142857143,0.0,0.0,0.007142857142857143,0.0,0.1779,0.122,0.092,0.786
2021-07-15 17:05:04,1,0,1,0,0,0,0,0,2012-01-24 00:00:23,7019,11,187,400111,0,0.0,0.0,0.0,0.0,0.013888888888888888,0.0,0.0,0.0,0.0,0.0,1.0
2021-07-15 16:58:56,1,0,1,0,0,0,0,0,2018-12-03 15:43:42,3157,0,95,841956,0,0.0,0.0,0.0,0.006711409395973154,0.006711409395973154,0.0,0.0,-0.2263,0.0,0.091,0.909
2021-07-15 16:33:53,1,0,1,0,0,0,0,0,2010-03-12 13:41:58,50988,353,191,89319,0,0.0,0.0,0.0,0.0,0.013888888888888888,0.0,0.0,0.0,0.0,0.0,1.0
2021-07-15 16:32:27,1,0,1,0,0,0,0,0,2021-01-29 11:43:57,291,0,9,110829,0,0.0,0.0,0.0,0.0,0.013888888888888888,0.0,0.0,0.0,0.0,0.0,1.0
2021-07-15 16:30:42,1,1,1,0,0,0,0,0,2020-04-25 09:11:29,5654,0,156,177909,0,0.0,0.0,0.0,0.0,0.011904761904761904,0.0,0.0,0.0,0.0,0.0,1.0
2021-07-15 16:30:27,1,0,1,0,0,0,0,0,2020-11-07 11:37:37,399,16,29,266556,0,0.0,0.0,0.0,0.0,0.013333333333333334,0.0,0.0,0.0,0.0,0.0,1.0
2021-07-15 13:40:02,1,0,1,0,0,0,0,0,2020-08-26 03:03:39,58,36,0,2601,0,0.014285714285714285,0.007142857142857143,0.007142857142857143,0.0,0.0,0.007142857142857143,0.0,0.1779,0.122,0.092,0.786
2021-07-15 10:31:16,0,0,2,1,0,1,0,0,2011-11-10 16:31:50,1455,605,10,854,1,0.003436426116838488,0.0,0.003436426116838488,0.0,0.0,0.0,0.0,0.6588,0.13,0.0,0.87
2021-07-15 05:29:28,0,0,2,0,0,0,0,0,2010-04-19 10:10:41,385,3142,6,11593,1,0.0,0.0,0.0,0.006711409395973154,0.0,0.0,0.0,0.4019,0.162,0.0,0.838
2021-07-14 21:51:04,1,0,2,0,0,0,0,0,2020-10-11 19:29:43,2898,55,59,110072,1,0.005714285714285714,0.0,0.0,0.0,0.011428571428571429,0.005714285714285714,0.0,0.3818,0.082,0.0,0.918
2021-07-14 08:57:39,0,4,1,0,0,0,0,0,2017-01-31 23:58:07,293,92,0,2934,0,0.004098360655737705,0.0,0.0,0.0,0.004098360655737705,0.0,0.0,0.2263,0.058,0.0,0.942
2021-07-14 02:32:57,0,7,1,0,0,0,0,0,2009-04-27 06:27:17,416,487,27,697,0,0.0,0.0,0.0,0.00390625,0.0,0.0,0.0,-0.296,0.0,0.091,0.909
2021-07-13 14:01:27,0,0,2,0,0,0,0,0,2010-03-30 15:33:29,1303,2181,22,3469,1,0.005076142131979695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2021-07-13 08:01:12,0,5,1,0,0,0,0,1,2015-06-16 03:34:34,6761,749,51,44387,0,0.0,0.0,0.0,0.009389671361502348,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2021-07-11 23:33:25,0,4,0,1,0,1,1,0,2013-05-09 11:56:49,310,6,4,8217,0,0.003816793893129771,0.003816793893129771,0.0,0.0,0.0,0.0,0.0,0.5994,0.126,0.0,0.874
2021-07-09 17:07:24,0,1,0,0,0,0,0,0,2018-01-07 09:23:37,28,12,1,9018,0,0.0,0.0,0.0,0.014285714285714285,0.0,0.0,0.0,0.3818,0.206,0.0,0.794
2021-07-09 12:20:19,0,0,2,11,1,1,2,0,2019-04-05 10:55:42,137,53,2,62,1,0.0,0.0,0.0038461538461538464,0.0,0.0,0.0038461538461538464,0.0,0.934,0.306,0.0,0.694
2021-07-09 02:06:08,1,0,2,0,0,0,0,0,2021-05-30 16:42:36,659,0,13,51308,1,0.005714285714285714,0.0,0.0,0.0,0.011428571428571429,0.005714285714285714,0.0,0.3818,0.082,0.0,0.918
2021-07-08 21:05:02,0,0,2,10,0,1,3,0,2020-06-16 00:56:03,649,180,0,1347,1,0.010169491525423728,0.003389830508474576,0.013559322033898305,0.003389830508474576,0.006779661016949152,0.003389830508474576,0.0,0.843,0.188,0.025,0.788
2021-07-08 09:36:25,0,4,1,0,0,0,0,0,2017-01-31 23:58:07,293,92,0,2934,0,0.004098360655737705,0.0,0.0,0.0,0.004098360655737705,0.0,0.0,0.2263,0.058,0.0,0.942
2021-07-08 04:02:43,1,0,1,0,0,0,0,0,2019-05-30 06:49:04,19113,181,347,880495,0,0.0,0.0,0.0,0.022556390977443608,0.0,0.0,0.0,-0.2732,0.117,0.181,0.702
2021-07-07 21:18:10,0,0,1,0,0,0,0,0,2016-02-03 04:04:34,92,21,1,78529,0,0.0,0.0,0.0,0.014285714285714285,0.0,0.0,0.0,0.25,0.133,0.0,0.867
2021-07-07 10:00:41,0,0,1,0,0,0,0,0,2011-06-28 07:43:54,780,570,26,20956,0,0.0,0.0,0.0,0.02142857142857143,0.0,0.0,0.0,-0.2732,0.117,0.181,0.702
2021-07-07 08:57:03,0,0,1,0,0,0,0,0,2010-03-04 22:15:07,1549,4,146,374669,0,0.0,0.0,0.0,0.017241379310344827,0.0,0.0,0.0,-0.2732,0.087,0.134,0.779
2021-07-07 08:14:21,0,2,1,0,0,0,0,0,2020-05-22 14:25:46,207,25,5,249771,0,0.0037313432835820895,0.0,0.0,0.0037313432835820895,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2021-07-07 07:43:34,0,0,1,0,0,0,0,0,2010-03-04 22:15:07,1549,4,146,374669,0,0.0,0.0,0.0,0.01910828025477707,0.0,0.0,0.0,-0.2732,0.1,0.154,0.746
